feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_properties__AND__has_required,has_properties,has_required,807,207,0.795858,0,0,807,207,0,0,0,0,true
has_required__AND__has_type,has_required,has_type,807,207,0.795858,0,0,807,207,0,0,0,0,true
has_defs__AND__has_properties,has_defs,has_properties,731,283,0.720907,0,0,731,283,0,0,0,0,true
has_defs__AND__has_ref,has_defs,has_ref,731,283,0.720907,0,0,731,283,0,0,0,0,true
has_defs__AND__has_type,has_defs,has_type,731,283,0.720907,0,0,731,283,0,0,0,0,true
has_properties__AND__has_ref,has_properties,has_ref,731,283,0.720907,0,0,731,283,0,0,0,0,true
has_ref__AND__has_type,has_ref,has_type,731,283,0.720907,0,0,731,283,0,0,0,0,true
has_defs__AND__has_required,has_defs,has_required,636,378,0.627219,0,0,636,378,0,0,0,0,true
has_ref__AND__has_required,has_ref,has_required,636,378,0.627219,0,0,636,378,0,0,0,0,true
has_items__AND__has_properties,has_items,has_properties,601,413,0.592702,0,0,601,413,0,0,0,0,true
has_items__AND__has_type,has_items,has_type,601,413,0.592702,0,0,601,413,0,0,0,0,true
has_defs__AND__has_items,has_defs,has_items,539,475,0.531558,0,0,539,475,0,0,0,0,true
has_items__AND__has_ref,has_items,has_ref,539,475,0.531558,0,0,539,475,0,0,0,0,true
has_items__AND__has_required,has_items,has_required,537,477,0.529586,0,0,537,477,0,0,0,0,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,408,606,0.402367,0,0,408,606,0,0,0,0,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,408,606,0.402367,0,0,408,606,0,0,0,0,true
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,402,612,0.39645,0,0,402,612,0,0,0,0,true
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,402,612,0.39645,0,0,402,612,0,0,0,0,true
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,385,629,0.379684,0,0,385,629,0,0,0,0,true
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,383,631,0.377712,0,0,383,631,0,0,0,0,true
has_defs__AND__has_enum,has_defs,has_enum,250,764,0.246548,0,0,250,764,0,0,0,0,true
has_enum__AND__has_items,has_enum,has_items,250,764,0.246548,0,0,250,764,0,0,0,0,true
has_enum__AND__has_properties,has_enum,has_properties,250,764,0.246548,0,0,250,764,0,0,0,0,true
has_enum__AND__has_ref,has_enum,has_ref,250,764,0.246548,0,0,250,764,0,0,0,0,true
has_enum__AND__has_type,has_enum,has_type,250,764,0.246548,0,0,250,764,0,0,0,0,true
has_enum__AND__has_required,has_enum,has_required,246,768,0.242604,0,0,246,768,0,0,0,0,true
has_defs__AND__has_oneOf,has_defs,has_oneOf,239,775,0.2357,0,0,239,775,0,0,0,0,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,239,775,0.2357,0,0,239,775,0,0,0,0,true
has_oneOf__AND__has_ref,has_oneOf,has_ref,239,775,0.2357,0,0,239,775,0,0,0,0,true
has_oneOf__AND__has_type,has_oneOf,has_type,239,775,0.2357,0,0,239,775,0,0,0,0,true
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,238,776,0.234714,0,0,238,776,0,0,0,0,true
has_oneOf__AND__has_required,has_oneOf,has_required,212,802,0.209073,0,0,212,802,0,0,0,0,true
has_items__AND__has_oneOf,has_items,has_oneOf,184,830,0.18146,0,0,184,830,0,0,0,0,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,168,846,0.16568,0,0,168,846,0,0,0,0,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,69,945,0.0680473,0,0,69,945,0,0,0,0,true
has_properties__AND__has_type,has_properties,has_type,1010,4,0.996055,0,0,1010,4,0,0,0,0,false
